Rob Pike
Rob Pike,1993
Rob Pike,1993,Plan 9 and Inferno
Rob Pike,1993,Plan 9 and Inferno,
Rob Pike,1993,Plan 9 and Inferno,,C
Rob Pike,1993,Plan 9 and Inferno,,C,Free
Rob Pike,1993,Plan 9 and Inferno,,C,Free,LPL (OSI approved)
Rob Pike,1993,Plan 9 and Inferno,,C,Free,LPL (OSI approved),Yes
"Alexey Kuznetsov, Alexander Shengalts"
"Alexey Kuznetsov, Alexander Shengalts",2003
"Alexey Kuznetsov, Alexander Shengalts",2003,4.9.8
"Alexey Kuznetsov, Alexander Shengalts",2003,4.9.8,2016-07-18
"Alexey Kuznetsov, Alexander Shengalts",2003,4.9.8,2016-07-18,C
"Alexey Kuznetsov, Alexander Shengalts",2003,4.9.8,2016-07-18,C,Free
"Alexey Kuznetsov, Alexander Shengalts",2003,4.9.8,2016-07-18,C,Free,BSD
"Alexey Kuznetsov, Alexander Shengalts",2003,4.9.8,2016-07-18,C,Free,BSD,Yes
Vince Darley
Vince Darley,1999
Vince Darley,1999,8.3.3
Vince Darley,1999,8.3.3,2004-12-10
Vince Darley,1999,8.3.3,2004-12-10,
Vince Darley,1999,8.3.3,2004-12-10,,$40
Vince Darley,1999,8.3.3,2004-12-10,,$40,"Proprietary, with BSD components"
Vince Darley,1999,8.3.3,2004-12-10,,$40,"Proprietary, with BSD components",No
David Reitter
David Reitter,2005
David Reitter,2005,3.3
David Reitter,2005,3.3,2016-09-20
David Reitter,2005,3.3,2016-09-20,"C, Emacs Lisp"
David Reitter,2005,3.3,2016-09-20,"C, Emacs Lisp",Free
David Reitter,2005,3.3,2016-09-20,"C, Emacs Lisp",Free,GPL
David Reitter,2005,3.3,2016-09-20,"C, Emacs Lisp",Free,GPL,Yes
GitHub
GitHub,2014
GitHub,2014,1.14.4
GitHub,2014,1.14.4,2017-02-27
GitHub,2014,1.14.4,2017-02-27,"HTML, CSS, JavaScript, C++"
GitHub,2014,1.14.4,2017-02-27,"HTML, CSS, JavaScript, C++",Free
GitHub,2014,1.14.4,2017-02-27,"HTML, CSS, JavaScript, C++",Free,MIT
GitHub,2014,1.14.4,2017-02-27,"HTML, CSS, JavaScript, C++",Free,MIT,Yes
Rich Siegel
Rich Siegel,1992-04
Rich Siegel,1992-04,11.6.4
Rich Siegel,1992-04,11.6.4,2017-02-24
Rich Siegel,1992-04,11.6.4,2017-02-24,"Objective-C, Objective-C++"
Rich Siegel,1992-04,11.6.4,2017-02-24,"Objective-C, Objective-C++",$49.99
Rich Siegel,1992-04,11.6.4,2017-02-24,"Objective-C, Objective-C++",$49.99,Proprietary
Rich Siegel,1992-04,11.6.4,2017-02-24,"Objective-C, Objective-C++",$49.99,Proprietary,No
Bluefish Development Team
Bluefish Development Team,1999
Bluefish Development Team,1999,2.2.10
Bluefish Development Team,1999,2.2.10,2017-01-27
Bluefish Development Team,1999,2.2.10,2017-01-27,C
Bluefish Development Team,1999,2.2.10,2017-01-27,C,Free
Bluefish Development Team,1999,2.2.10,2017-01-27,C,Free,GPL
Bluefish Development Team,1999,2.2.10,2017-01-27,C,Free,GPL,Yes
Adobe Systems
Adobe Systems,2012
Adobe Systems,2012,1.8
Adobe Systems,2012,1.8,2016-11-10
Adobe Systems,2012,1.8,2016-11-10,"HTML, CSS, JavaScript, C++"
Adobe Systems,2012,1.8,2016-11-10,"HTML, CSS, JavaScript, C++",Free
Adobe Systems,2012,1.8,2016-11-10,"HTML, CSS, JavaScript, C++",Free,MIT
Adobe Systems,2012,1.8,2016-11-10,"HTML, CSS, JavaScript, C++",Free,MIT,Yes
Panic
Panic,2007
Panic,2007,2.6
Panic,2007,2.6,2016-12-05
Panic,2007,2.6,2016-12-05,Objective-C
Panic,2007,2.6,2016-12-05,Objective-C,$99
Panic,2007,2.6,2016-12-05,Objective-C,$99,Proprietary
Panic,2007,2.6,2016-12-05,Objective-C,$99,Proprietary,No
ConTEXT Project Ltd
ConTEXT Project Ltd,1999
ConTEXT Project Ltd,1999,0.98.6
ConTEXT Project Ltd,1999,0.98.6,2009-08-14
ConTEXT Project Ltd,1999,0.98.6,2009-08-14,Object Pascal (Delphi)
ConTEXT Project Ltd,1999,0.98.6,2009-08-14,Object Pascal (Delphi),Free
ConTEXT Project Ltd,1999,0.98.6,2009-08-14,Object Pascal (Delphi),Free,BSD
ConTEXT Project Ltd,1999,0.98.6,2009-08-14,Object Pascal (Delphi),Free,BSD,Yes
"Ingyu Kang, Emerald Editor Team"
"Ingyu Kang, Emerald Editor Team",1999
"Ingyu Kang, Emerald Editor Team",1999,3.72
"Ingyu Kang, Emerald Editor Team",1999,3.72,2008-05-14
"Ingyu Kang, Emerald Editor Team",1999,3.72,2008-05-14,C++
"Ingyu Kang, Emerald Editor Team",1999,3.72,2008-05-14,C++,Free
"Ingyu Kang, Emerald Editor Team",1999,3.72,2008-05-14,C++,Free,GPL
"Ingyu Kang, Emerald Editor Team",1999,3.72,2008-05-14,C++,Free,GPL,Yes
Pistos
Pistos,2004
Pistos,2004,0.9.4
Pistos,2004,0.9.4,2015-01-08
Pistos,2004,0.9.4,2015-01-08,Ruby
Pistos,2004,0.9.4,2015-01-08,Ruby,Free
Pistos,2004,0.9.4,2015-01-08,Ruby,Free,MIT
Pistos,2004,0.9.4,2015-01-08,Ruby,Free,MIT,Yes
Alexander Stigsen
Alexander Stigsen,2005
Alexander Stigsen,2005,2.0.2
Alexander Stigsen,2005,2.0.2,2010-11-30
